               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  82,           0.0082719,           0.0062869,                   0,             0.92216,             0.97273,             0.98341,             0.89032,           0.0033416,           0.0026102,                   0,            0.007327,            0.007327,            0.007327
                  83,             0.00818,           0.0060788,                   0,             0.95814,             0.93635,              0.9718,             0.88601,           0.0034453,           0.0028907,                   0,            0.007294,            0.007294,            0.007294
                  84,           0.0079069,           0.0059878,                   0,             0.98027,             0.90909,             0.96266,             0.87628,           0.0034126,              0.0031,                   0,            0.007261,            0.007261,            0.007261
                  85,           0.0078748,           0.0059317,                   0,             0.97883,             0.93636,             0.97203,             0.87735,           0.0036059,           0.0037766,                   0,            0.007228,            0.007228,            0.007228
                  86,           0.0082744,           0.0060504,                   0,             0.92085,                 0.9,             0.94295,             0.85567,           0.0035519,           0.0039552,                   0,            0.007195,            0.007195,            0.007195
                  87,           0.0086701,           0.0061633,                   0,             0.91396,             0.91818,             0.95998,              0.8618,           0.0035729,            0.003626,                   0,            0.007162,            0.007162,            0.007162
                  88,           0.0080671,           0.0059241,                   0,             0.89348,             0.91818,             0.94835,             0.86543,            0.003397,           0.0040081,                   0,            0.007129,            0.007129,            0.007129
                  89,            0.008075,           0.0059632,                   0,             0.99438,             0.81364,             0.95684,             0.84424,            0.003747,           0.0041871,                   0,            0.007096,            0.007096,            0.007096
                  90,           0.0081972,           0.0059862,                   0,             0.96189,             0.91818,             0.95348,             0.87184,           0.0033443,           0.0033863,                   0,            0.007063,            0.007063,            0.007063
                  91,           0.0083237,           0.0059884,                   0,             0.98046,             0.91818,             0.97625,             0.87535,            0.003273,           0.0038014,                   0,             0.00703,             0.00703,             0.00703
                  92,           0.0081274,           0.0059067,                   0,             0.95857,             0.94658,             0.97872,             0.86653,           0.0035168,           0.0034103,                   0,            0.006997,            0.006997,            0.006997
                  93,           0.0085985,           0.0059702,                   0,              0.8903,             0.95909,             0.96876,              0.8722,           0.0032929,           0.0041087,                   0,            0.006964,            0.006964,            0.006964
                  94,           0.0080757,           0.0060564,                   0,             0.89329,             0.91327,             0.95879,             0.87457,           0.0031884,           0.0039024,                   0,            0.006931,            0.006931,            0.006931
                  95,           0.0083653,           0.0059933,                   0,             0.94694,             0.89545,             0.96063,              0.8672,           0.0031947,           0.0035014,                   0,            0.006898,            0.006898,            0.006898
                  96,           0.0077205,           0.0059729,                   0,             0.98054,             0.91818,             0.96711,             0.87276,           0.0032618,           0.0033755,                   0,            0.006865,            0.006865,            0.006865
                  97,           0.0077798,           0.0058737,                   0,             0.90093,             0.95455,             0.97173,             0.88156,           0.0033351,           0.0034565,                   0,            0.006832,            0.006832,            0.006832
                  98,           0.0083882,           0.0059289,                   0,             0.93516,             0.91818,             0.94824,             0.84792,           0.0034722,            0.003368,                   0,            0.006799,            0.006799,            0.006799
                  99,           0.0080914,           0.0059547,                   0,             0.92638,             0.91818,             0.95413,             0.85138,           0.0034949,           0.0038449,                   0,            0.006766,            0.006766,            0.006766
                 100,           0.0084338,            0.005831,                   0,             0.88183,             0.94977,             0.94884,             0.85839,           0.0035229,           0.0030273,                   0,            0.006733,            0.006733,            0.006733
                 101,           0.0076548,            0.005821,                   0,             0.92235,             0.91818,             0.93699,             0.84575,            0.003439,           0.0038801,                   0,              0.0067,              0.0067,              0.0067
                 102,           0.0081129,           0.0057662,                   0,             0.93084,             0.91818,             0.96888,             0.85665,           0.0034183,           0.0034062,                   0,            0.006667,            0.006667,            0.006667
                 103,           0.0075689,           0.0059105,                   0,             0.91639,             0.90455,             0.95558,              0.8603,           0.0033097,           0.0038167,                   0,            0.006634,            0.006634,            0.006634
                 104,           0.0076969,           0.0057973,                   0,             0.91622,             0.84545,             0.93422,             0.84365,           0.0033303,            0.004264,                   0,            0.006601,            0.006601,            0.006601
                 105,           0.0079205,           0.0057268,                   0,             0.87551,               0.959,             0.96328,             0.88285,            0.002941,           0.0030253,                   0,            0.006568,            0.006568,            0.006568
                 106,           0.0078341,           0.0057738,                   0,               0.898,             0.92727,             0.96296,             0.87921,            0.003202,           0.0036168,                   0,            0.006535,            0.006535,            0.006535
                 107,           0.0075953,           0.0057583,                   0,             0.97952,             0.87273,             0.96721,             0.87322,           0.0032071,           0.0031367,                   0,            0.006502,            0.006502,            0.006502
                 108,           0.0076767,           0.0058378,                   0,             0.93952,             0.91818,             0.96673,             0.88034,            0.003173,           0.0031169,                   0,            0.006469,            0.006469,            0.006469
                 109,           0.0078032,            0.005763,                   0,             0.91817,             0.91804,             0.95965,             0.87611,           0.0032198,           0.0034243,                   0,            0.006436,            0.006436,            0.006436
                 110,           0.0075482,           0.0056345,                   0,             0.97485,             0.88182,             0.96209,             0.86857,           0.0033531,           0.0038158,                   0,            0.006403,            0.006403,            0.006403
                 111,           0.0073989,           0.0056404,                   0,             0.91639,                0.95,             0.96987,              0.8768,           0.0034386,            0.002979,                   0,             0.00637,             0.00637,             0.00637
                 112,           0.0082008,           0.0057501,                   0,             0.96576,                 0.9,             0.97373,             0.88035,           0.0033224,           0.0026484,                   0,            0.006337,            0.006337,            0.006337
                 113,           0.0074134,           0.0056146,                   0,             0.91338,             0.95909,             0.96846,             0.87623,           0.0032227,           0.0028195,                   0,            0.006304,            0.006304,            0.006304
                 114,           0.0079197,           0.0055195,                   0,              0.9434,             0.90907,             0.97093,             0.89762,           0.0029596,           0.0028696,                   0,            0.006271,            0.006271,            0.006271
                 115,              0.0073,           0.0056241,                   0,             0.87656,             0.93636,             0.95158,             0.87352,           0.0030271,           0.0032378,                   0,            0.006238,            0.006238,            0.006238
                 116,           0.0073004,           0.0056658,                   0,             0.94281,             0.89914,             0.96343,             0.87888,           0.0033834,           0.0030427,                   0,            0.006205,            0.006205,            0.006205
                 117,           0.0083509,           0.0057118,                   0,              0.9434,             0.90908,             0.96262,             0.86263,           0.0033618,           0.0030585,                   0,            0.006172,            0.006172,            0.006172
                 118,           0.0077418,           0.0056551,                   0,             0.94391,             0.91796,             0.96935,             0.89111,           0.0030787,           0.0026453,                   0,            0.006139,            0.006139,            0.006139
                 119,           0.0076806,           0.0056023,                   0,             0.94285,                 0.9,             0.96811,              0.8841,            0.003173,           0.0028413,                   0,            0.006106,            0.006106,            0.006106
                 120,           0.0070814,           0.0055838,                   0,             0.89911,             0.93182,             0.95803,             0.88294,           0.0030701,           0.0027517,                   0,            0.006073,            0.006073,            0.006073
                 121,           0.0079588,           0.0054866,                   0,             0.93358,             0.95909,             0.97219,             0.89421,           0.0029805,           0.0025404,                   0,             0.00604,             0.00604,             0.00604
                 122,           0.0073568,           0.0056919,                   0,             0.93518,             0.91816,             0.96832,             0.88125,           0.0031466,           0.0027293,                   0,            0.006007,            0.006007,            0.006007
                 123,           0.0081717,           0.0056788,                   0,              0.9074,             0.93636,             0.95651,             0.85803,           0.0034486,           0.0032692,                   0,            0.005974,            0.005974,            0.005974
                 124,           0.0077482,            0.005542,                   0,              0.9441,             0.92273,              0.9673,             0.87886,           0.0032483,            0.003161,                   0,            0.005941,            0.005941,            0.005941
                 125,           0.0074034,            0.005641,                   0,             0.90035,             0.98567,             0.96947,             0.87904,           0.0033085,           0.0030313,                   0,            0.005908,            0.005908,            0.005908
                 126,           0.0071755,           0.0055404,                   0,             0.91882,             0.98636,             0.97256,             0.89085,           0.0032107,            0.002758,                   0,            0.005875,            0.005875,            0.005875
                 127,           0.0077001,            0.005491,                   0,             0.92598,             0.85455,             0.93137,             0.83929,           0.0034338,           0.0035229,                   0,            0.005842,            0.005842,            0.005842
                 128,           0.0075606,           0.0056208,                   0,             0.94634,             0.88181,             0.96612,             0.87207,           0.0034085,           0.0032888,                   0,            0.005809,            0.005809,            0.005809
                 129,           0.0082249,           0.0055622,                   0,             0.94174,             0.88182,             0.96391,             0.87326,           0.0034558,           0.0032957,                   0,            0.005776,            0.005776,            0.005776
                 130,           0.0072527,           0.0055072,                   0,             0.91064,              0.9727,             0.97037,             0.87706,            0.003486,           0.0029819,                   0,            0.005743,            0.005743,            0.005743
                 131,            0.007584,           0.0054188,                   0,             0.92557,             0.90909,             0.96501,             0.87929,           0.0032527,           0.0035733,                   0,             0.00571,             0.00571,             0.00571
                 132,           0.0068946,           0.0056263,                   0,             0.89406,             0.95899,             0.96235,              0.8724,           0.0032529,           0.0032238,                   0,            0.005677,            0.005677,            0.005677
                 133,           0.0072617,           0.0055135,                   0,             0.93327,             0.89091,             0.95417,             0.86333,            0.003111,           0.0032667,                   0,            0.005644,            0.005644,            0.005644
                 134,           0.0072222,           0.0053511,                   0,             0.91855,              0.9227,             0.95264,             0.85816,            0.003349,           0.0035207,                   0,            0.005611,            0.005611,            0.005611
                 135,           0.0071957,           0.0054528,                   0,             0.92477,             0.94986,             0.96703,             0.87717,            0.003311,           0.0030592,                   0,            0.005578,            0.005578,            0.005578
                 136,            0.007045,           0.0053355,                   0,             0.93296,                0.95,             0.97133,             0.87729,           0.0034027,            0.003187,                   0,            0.005545,            0.005545,            0.005545
                 137,           0.0073677,           0.0055235,                   0,             0.94604,             0.87727,             0.93767,             0.85353,            0.003162,           0.0038397,                   0,            0.005512,            0.005512,            0.005512
                 138,           0.0070976,             0.00542,                   0,             0.94174,             0.88176,             0.95145,             0.85574,           0.0032078,           0.0034561,                   0,            0.005479,            0.005479,            0.005479
                 139,            0.007173,           0.0054907,                   0,             0.90514,             0.95909,             0.96955,             0.86888,           0.0033792,           0.0034634,                   0,            0.005446,            0.005446,            0.005446
                 140,           0.0073829,           0.0053406,                   0,             0.88512,             0.98182,             0.96596,              0.8693,           0.0032728,           0.0029447,                   0,            0.005413,            0.005413,            0.005413
                 141,           0.0066413,           0.0052571,                   0,             0.92139,             0.95893,             0.96963,             0.87792,           0.0031123,           0.0027348,                   0,             0.00538,             0.00538,             0.00538
                 142,            0.007578,           0.0053887,                   0,              0.8639,             0.98095,             0.97386,             0.87478,           0.0033745,            0.003343,                   0,            0.005347,            0.005347,            0.005347
                 143,           0.0071349,           0.0054553,                   0,              0.9261,             0.91364,             0.96422,             0.87665,           0.0032874,           0.0034751,                   0,            0.005314,            0.005314,            0.005314
                 144,           0.0074104,           0.0052882,                   0,             0.89906,             0.93182,             0.95136,             0.86808,           0.0031996,           0.0035246,                   0,            0.005281,            0.005281,            0.005281
                 145,           0.0073906,           0.0053471,                   0,             0.89909,             0.93153,             0.96373,             0.86977,           0.0032736,           0.0033631,                   0,            0.005248,            0.005248,            0.005248
                 146,           0.0068725,           0.0052918,                   0,             0.88701,             0.93182,             0.95822,             0.87246,           0.0030766,           0.0031128,                   0,            0.005215,            0.005215,            0.005215
                 147,           0.0069019,           0.0054034,                   0,             0.86919,             0.93633,             0.94328,             0.86755,           0.0030243,           0.0029003,                   0,            0.005182,            0.005182,            0.005182
                 148,            0.007019,            0.005513,                   0,             0.86475,             0.95905,             0.94821,             0.86584,           0.0031291,           0.0031611,                   0,            0.005149,            0.005149,            0.005149
                 149,           0.0069071,           0.0053622,                   0,             0.87618,             0.96818,             0.94835,             0.86147,           0.0031499,           0.0032117,                   0,            0.005116,            0.005116,            0.005116
                 150,           0.0067932,           0.0052432,                   0,             0.90597,             0.96347,               0.959,             0.87939,           0.0030662,           0.0029952,                   0,            0.005083,            0.005083,            0.005083
                 151,            0.006769,           0.0052359,                   0,             0.88551,             0.98636,             0.95808,             0.86957,           0.0032383,           0.0032464,                   0,             0.00505,             0.00505,             0.00505
                 152,           0.0069393,            0.005269,                   0,             0.89189,             0.94091,             0.95373,             0.86582,           0.0031271,            0.003294,                   0,            0.005017,            0.005017,            0.005017
                 153,           0.0066632,           0.0051938,                   0,             0.93951,             0.91818,             0.94562,             0.86386,           0.0030208,            0.003218,                   0,            0.004984,            0.004984,            0.004984
                 154,           0.0066547,           0.0051864,                   0,              0.9395,             0.91818,             0.96455,              0.8903,           0.0028829,            0.002964,                   0,            0.004951,            0.004951,            0.004951
                 155,           0.0068427,           0.0052618,                   0,             0.93149,             0.92697,             0.95766,              0.8789,           0.0030145,           0.0030491,                   0,            0.004918,            0.004918,            0.004918
                 156,           0.0064231,           0.0053176,                   0,             0.93655,             0.93933,             0.97231,             0.89269,           0.0030037,           0.0028429,                   0,            0.004885,            0.004885,            0.004885
                 157,           0.0065696,           0.0051768,                   0,             0.94444,             0.92725,             0.96991,             0.87913,            0.003047,           0.0031793,                   0,            0.004852,            0.004852,            0.004852
                 158,           0.0069876,           0.0052826,                   0,             0.91227,             0.94536,             0.96766,             0.87363,           0.0033165,           0.0034487,                   0,            0.004819,            0.004819,            0.004819
                 159,           0.0070815,           0.0051596,                   0,             0.92822,             0.94091,             0.96474,             0.87684,           0.0032842,           0.0032586,                   0,            0.004786,            0.004786,            0.004786
                 160,           0.0069935,           0.0052933,                   0,             0.91838,             0.94091,             0.95296,             0.87044,           0.0031817,           0.0032454,                   0,            0.004753,            0.004753,            0.004753
                 161,           0.0069334,            0.005213,                   0,             0.89693,             0.94934,             0.95611,             0.87256,           0.0031898,           0.0030672,                   0,             0.00472,             0.00472,             0.00472
                 162,           0.0065201,           0.0051683,                   0,             0.90637,               0.968,              0.9677,             0.87634,           0.0030918,           0.0029954,                   0,            0.004687,            0.004687,            0.004687
                 163,            0.006295,           0.0050957,                   0,             0.88934,                0.95,             0.95956,             0.86444,           0.0033476,           0.0032104,                   0,            0.004654,            0.004654,            0.004654
                 164,           0.0069277,           0.0051239,                   0,             0.92727,             0.92722,             0.96569,             0.87311,           0.0033325,           0.0032256,                   0,            0.004621,            0.004621,            0.004621
                 165,           0.0069133,           0.0051674,                   0,             0.92029,             0.94545,             0.97674,             0.88665,           0.0031968,           0.0032028,                   0,            0.004588,            0.004588,            0.004588
                 166,           0.0065047,           0.0051225,                   0,             0.89267,             0.94545,              0.9717,             0.87898,           0.0031905,           0.0030183,                   0,            0.004555,            0.004555,            0.004555
